"score","text","class"
4,"rt selamat hari raya idul fitri h bagi yang raya eid idulfitri lebaran arphinastellaria ","Positive"
4,"wakil kepala polisi daerah jawa barat mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin wakapoldabrigjen pol bariza sulfi tetapprokessaatlebaranbersama laksana sama polrestabandung polsekcileunyirestabdg ","Positive"
-5,"rt bagai manusia biasa apalagi pimpin organisasi dengan juta anggota tentu saya milik bejibun salah ijinkan","Negative"
16,"mari silaturahmi dengan saling maaf mari raih menang dengan tulus ucap dari hati segenap keluarga besar papa feb u ucap selamat hari raya idul fitri h moga hari yang fitri ini jadi kita pribadi yang lebih arti ","Positive"
7,"rt sejarah salat idul fitri di lapang ijtihad muhammadiyah untuk islam indonesiautas cerah spesial syawal i","Positive"
4," selamat idul fitri bung denny","Positive"
4," selamat hari raya idul fitrimohon maaf lahir dan batin ","Positive"
0,"rt tum kapan hadir shalat idul fitri di jakarta international stadium sama gubernur dki a","Neutral"
4," selamat idul fitrimohon maaf lahir batin","Positive"
4," selamat hari raya idul fitri ","Positive"
5,"kepala polisi negara republik indonesia jenderal polisi drs listyo sigit prabowo ucap selamat hari raya idul fitri h minal aidin wal faidzin mohon maaf lahir dan batin kepada seluruh umat muslim di indonesia tetapprokessaatlebaran ","Positive"
5," selamat idul fitri juga ya mew mohon maaf lahir batin salam buat putri ya","Positive"
5,"idul fitri memang paling enak body shaming ya bro enggak usah maaf maaf thanks ","Positive"
4,"rt selamat hari raya idul fitriminal aidin wal faaiziinmohon maaf lahir dan batin eidmubarak a ayang","Positive"
-1,"kakanwil a yuspahruddin kemenkumham jateng lebaran idul fitri napi rutan kebumen dapat remisi khusus","Negative"
0,"srlamat hari raya idul fitri teman","Neutral"
1,"kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kadiv humas polriirjen pol prof dari dedi prasetyo sama hum sama sama tetapprokessaatlebaranbersama laksana sama ","Positive"
0,"rt we pray for our muslim brothers and sisters who have just completed the month of fasting and now celebrating the feast of e","Neutral"
0,"rt masyaallah tabarakallah ribu jamaah sholat idul fitri di jis sama pak ","Neutral"
5," selamat hari raya idul fitri h mohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
4,"rt selamat hari raya idul fitri lihat kue raya nya dong","Positive"
0,"kakanwil a yuspahruddin kemenkumham jateng napi rutan salatiga dapat remisi idul fitri langsung bebas","Neutral"
5,"rt selamat idul fitri mohon maaf lahir batin semua ","Positive"
1,"rt dear dandanies exolwalau langkah tak bertemu tang tak jabat dan kata tak dengar izin hati mohon maaf","Positive"
5,"kepala rutan serta ketua dharma wanita satu dwp rutan pinrang kanwil kemenkumham sulsel ucap selamat hari raya idul fitri hijriah mohon maaf lahir dan batin kumhampasti kumhamsulsel rutanpinrang ","Positive"
1,"kepala polisi daerah jawa barat mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapoldairjen pol drs suntana tetapprokessaatlebaranbersama laksana sama polrestabandung ","Positive"
4,"rt selamat hari raya idul fitri maaf lahir batin ya","Positive"
5,"selamat hari raya idul fitri syawal hijriah mohon maaf lahir dan batin lenteng agung ","Positive"
4,"anw selamat hari raya idul fitri bagi yang raya love love ","Positive"
5,"selamat hari raya idul fitri buat yang raya mohon maaf lahir batin ","Positive"
5," bee selamat hari raya idul fitri beeminal aidin wal faizin mohon maaf lahir dan batin untuk segala salah yang tidak sengaja sengaja maupun yang sudah siap matang wkw","Positive"
1,"wali kota probolinggo sama ribu jamaah salat idul fitri padat masjid agung raudhatul jannah ","Positive"
6,"tinggal apa yang bisa kita petik dari buah yang nama ramadhan dan menang yang nama idul fitri aplikasi dari dua hal sebut tidak lain adalah ketaqwaan yang lebih dari taqwa kita yang kemarin akan jadi cuma jika dua hal sebut tidak punya output untuk hidup yang lebih baik","Positive"
-1,"gelar sholat idul fitri h dan beri remisi khusus hari raya bagi narapidana kemenkumhamri kumhampasti ditjenpas eidulfitr eidalfitr hariraya lebaran ","Negative"
-6,"rt pas lebaran idul fitri nanti kalau kamu dapat tanya mana pacar kapan nikah loh kok sudah enggak sama dia lagi ","Negative"
-3,"selamat hari raya idul fitri tetap benah diri utama maaf diri sendiri lalu kemudian mereka maaf diri yang lama ini selalu tutup sedih dengan tawa dan dengan keras kepala hibur mereka yang bahagia walau kamu sedang luka","Negative"
0,"kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri republika online ","Neutral"
5," selamat hari raya idul fitri ya mbak mohon maaf lahir dan batin ","Positive"
0,"rt menteri bumn laksana sholat ied sama keluarga di mesjid at thohirselamat raya hari raya idul f","Neutral"
0,"selanat hari raya idul fitri wahai sobat sambat twitter ku maaf aku lahir dan batin ya","Neutral"
-1," usai laksana shalat ied kepala subsi pelayayanan tahan bayu prianto bacak sambut menteri hukum dan ham r pada beri remisi khusus ingat hari raya idul fitri hijriah tahun ","Negative"
5,"selamat hari raya idul fitri semua mohon maaf lahir dan batin ya ","Positive"
5,"selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo nya juliati sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
2,"siapa yang lihat ini selamat hari raya idul fitri ya mohon maaf lahir dan batin maaf salah aku baik sikap kata yang sakit hati ya selamat lebaran gaisss selamat kumpul dengan keluarga","Positive"
4,"selamat hari raya idul fitri h ","Positive"
12,"selamat hari raya idul fitri h lebaran tahun ini kita wajib patuh protokol sehat dengan laksana sama dan tetap waspada karena covid belum penuh hilang tetapprokessaatlebaranbersama laksana sama ","Positive"
4," wkwkwk selamat idul fitri ya","Positive"
5,"penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut tentu dalam edar penyelenggaran ibdah idul fitri tahun h sama surat edar nomor se tahun tetapprokessaatlebaranbersama laksana sama ","Positive"
0,"yuk raya hari raya idul fitri dengan tetap laksana sama utama maka masker untuk jaga diri dari sebar covid tetapprokessaatlebaranbersama laksana sama ","Neutral"
5,"rt kami segenap admin twitter ucap selamat hari raya idul fitri h minal aidin wal faidzin mohon maaf lahir dan b","Positive"
0,"muhammadiyah idul fitri bangun spirit bagi di tengah pandemi ","Neutral"
5,"syawal itu artiny tingkat moga kita istikamah dalam ibadah dan taqwa aamiinselamat hari raya idul fitri hmohon maaf lahir bathin idulfitri h","Positive"
4,"selamat hari raya idul fitri gaes ","Positive"
0,"yaallah mls banget gue post twibbon idul fitri","Neutral"
9,"sekretaris daerah kabupaten jayapura hana hikoyabi ucap selamat hari raya idul fitri h sama bagi umat muslim di tanah kenambai umbai kabupaten jayapura mohon maaf lahir dan bathin kenambai umbai re mau satu utuh ceria karya raih jaya ","Positive"
5,"selamat hari raya idul fitri minal aidzin wal faidizn mohon maaf lahir dan batin guys ","Positive"
-1,"rt perempuan demokrat r jakarta timur mengucapkanselamat hari raya idul fitri syawal h moga kita temu kembali dengan","Negative"
9,"selamat hari raya idul fitri cantik ","Positive"
8,"dalam upaya berik rasa aman dan nyaman kepada warga yang sedang jalan sholat ied di hari raya idul fitri polres semarang dan polsek jajar laksana aman di sejumlah masjid dan mushola yang ada di wilayah ungar ","Positive"
0,"masyaallah intip antusias warga saa salat idul fitri perdana dijis ","Neutral"
4,"rt presiden dan ibu negara itiana joko widodo ucap selamat idul fitri kepada seluruh masyarakat indonesia dan","Positive"
0,"kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri lima langsung bebas","Neutral"
-1," sobatlbos usai rangkai laksana sholat ied tiba momen yang paling di nanti untuk semua warga bina yaitu baca beri remisi khusus hari raya idul fitri h kemenkumhamgorontalo lapasboalemosmile ","Negative"
5,"selamat idul fitri mohon maaf lahir dan batin ","Positive"
5," selamat idul fitri mohon maaf lahir dan batin","Positive"
10,"bawa sinar terang damai dan suci tebar berkah di idul fitri yang suci selamat idul fitri h mohon maaf lahir dan batin eidmubarak h ramadhan h hmptk kabinetdedikasi salamyeswecan teknikkimiaunnes","Positive"
11," hari raya idul fitri segenap keluarga besar himpun mahasiswa profesi teknik kimia unnes ucap selamat hari raya idul fitri hramadhan telah lalu fajar menang telah sambut ","Positive"
5,"selamat hari raya idul fitri mohon maaf lahir batin ","Positive"
5,"rt selamat hari raya idul fitri h mohon maaf lahir dan batin sobat ","Positive"
4,"selamat hari raya idul fitri htaqobbalallahu minna wa minkummohon maaf lahir dan batin eidmubarak","Positive"
9,"kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momentum kuat tali saudara dan satu demi wujud indonesia yang tangguh dan tumbuh tetapprokessaatlebaranbersama laksana sama ","Positive"
-2,"untuk temantrijeron yang akan laksana halal bihalal telah sedia pedoman laksana halal bihalal idul fitri h suai dengan se walikota yogyakarta nomor tahun untuk lengkap dapat akses lalu tweet bawah ini ya temantrijeron ","Negative"
5,"rt ucap selamat hari raya idul fitri mohon maaf lahir dan bathin lots of love from the kiehl family ","Positive"
-1," rumah tahan negara kelas iia palu kanwil kemenkumham sulawesi tengah laksana beri remisi khusus hari raya idul fitri h tempat di aula pogombo rutan kelas iia palu senin ","Negative"
12," baik semangat pokok jangan sampai ngerusak vibe hari raya selamat idul fitri ya","Positive"
1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
4,"selamat hari raya idul fitri ya ladies kristieaestheticclinic kristieclinic idulfitri h eidulfitr cantikgakperlumahal ","Positive"
4," selamat idul fitri mbak icha ","Positive"
4,"rt alhamdulillah moga jadi baik ","Positive"
4," amin mas selamat hari raya idul fitri","Positive"
10,"selamat hari raya idul fitri h minal aidin wal faizin mohon maaf lahir dan batin moga momen idul fitri ini dapat bawa sukacita bagi kita semua santikaindonesia santikahotels kampihotels amarishotels theanvaya thesamaya thekayana diindonesiaaja ","Positive"
0,"tompi idul fitri","Neutral"
4," selamat hari raya idul fitri kak inez ","Positive"
4,"selamat hari raya idul fitri teman yang raya","Positive"
1,"kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kadiv humas polriirjen pol prof dari dedi prasetyo sama hum sama sama tetapprokessaatlebaranbersama laksana sama ","Positive"
5,"selamat hari raya idul fitri mohon maaf lahir batinjangan lupa hati biar kagak kolestrol","Positive"
0,"rt mnjalankn salat idul fitri di masjid at thohir tapos cimanggis depok jabar salat idul fitri h ini mnj","Neutral"
8,"rt selamat hari raya idul fitri h moga di hari yang fitri ini kita berik bahagia yang limpah dan sama","Positive"
5," selamat idul fitri juga dek mohon maaf lahir batin ya ","Positive"
5," tahun lalu waktu tahun baru gue meriang sekarang idul fitri gue meriang memang paling benar diam rumah saja gosah pergi lagi sodara di luar kota semua ","Positive"
4,"rt assalamualaikum warrohmatullahi wabarokaatuh bro sis selamat raya hari raya idul fitri syawal h taqabbala","Positive"
1," taqabbalallahu minna waminkum shiyamana washiyamakumselamat hari raya idul fitri syawwal hijriyahminal aidin walfaizin mohon maaf lahir dan bathin kak","Positive"
3,"selamat hari raya idul fitri mohon maaf untuk salah salah de lama ini ya moga depan bisa jadi lebih baik doa baik untuk teman teman hunter agar semua dapat gilir bigwin amin taqaballahu mina wa minkum minal aidin wal faidzin ","Positive"
9,"rt selamat hari raya idul fitri teman teman yang raya senang tahun ini seperti sudah pada bisa banyak yang kumpul keluarga","Positive"
3,"rt sambut hari raya idul fitri syawal h kami sampai prakira cuaca esok hari kota besar di indonesiaselamat har","Positive"
0,"idul fitri h rutan pandeglang buka terima barang makan hingga fasilitas video call ","Neutral"
5,"selamat hari raya idul fitri teman minal aidin wal faidzin mohon maaf lahir dan batin ","Positive"
4,"selamat hari raya idul fitri syawal hmohon maaf lahir dan batin ","Positive"
5,"kepala rutan serta ketua dharma wanita satu dwp rutan pinrang kanwil kemenkumham sulsel ucap selamat hari raya idul fitri hijriah mohon maaf lahir dan batin kumhampasti kumhamsulsel rutanpinrang ","Positive"
0,"rt hubung hari ini tanggal mei dan besok sudah idul fitri aku mau bagi sedikit rejeki buat orang yang untung syar","Neutral"
0,"hari raya idul fitri hari ini beda enggak serame dulu mungkin karena mbak silvi sama mbak aliefta lebaran dulu di rumah suami nya but happy eid mubarak tapi all my muslim brothers and sisters ","Neutral"
0,"rt iklan idul fitri djarum ","Neutral"
9," taqabalallahu minna wa minkum taqabbal ya kariimsemoga amal ibadah kita terima allah swt amin selamat idul fitri syawal h njaluk ngapuro lair batin ya omkuh ","Positive"
-2,"bicara tentang hari raya idul fitri tak lepas dengan ada hidang khas lebaran tiap daerah punya hidang khas masing masing salah satu suku betawi di jakarta mau tau apa saja hidang lebaran di jakarta yang biasa suguh masyarakat betawi yuk simak video ini ","Negative"
-1," orang warga bina rutan pinrang kanwil kemenkumham sulsel dapat remisi khusus rk hari raya idul fitri tahun orang langsung bebas senin kumhampasti kumhamsulsel rutanpinrang ","Negative"
4,"alhamdulillah moga jadi baik ","Positive"
0,"rt asik ya negara tetangga setelah bebas mudik tol pun ikut gratis jangan harap sini bisa sama ya ","Neutral"
5,"rt selamat hari raya idul fitri h untuk teman danibar mohon maaf lahir batin mau you enjoy this time with your loved","Positive"
4,"gubernur jabar ridwan kamil bawa semangat bagi warga untuk segera merdeka dari covid itu ungkap belum salat id di lapang gasibu bandung ","Positive"
4," selamat hari raya idul fitri semua taqoballahu minna wa minkum ","Positive"
-1,"beri remisi khusus idul fitri h bagi wbp rutan palusumber humas rutan palu kumhamsultengantikekerasan kumhamsultengantidiskriminasi kumhamsultengpintarbermedsos kemenkumhamsulteng kumhamsulteng ","Negative"
4,"rt komennya saat ada video soal umat katolik yang doa agar umat islam bisa raya idul fitri dengan suka cita ","Positive"
8,"hari raya idul fitri rupa hari menang ikut kumpul pantun ucap selamat hari raya idul fitri portalyogya mudik idulfitri h idulfitri idulfitri ","Positive"
0," makan opor sama kento di kediriselamat hari raya idul fitri","Neutral"
4,"rt untuk tiap tindak yang pernah sakit untuk tiap kata yang pernah milu asa moga dimaafk","Positive"
5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batin","Positive"
4,"rt selamat idul fitri mari bagi sama tabur berkah untuk sama ","Positive"
10," ey lucu banget selamat idul fitri yhh","Positive"
-14,"sakit hati banget lebaran kali ini banyak orang yang cenderung rendah idul fitri dari tradisi sampai ada yang anggap solat id jadi beban yang bisa buat hidup mereka makin sulit miris itu banyak ucap oleh orang yang mau uji yang notabene butuh doa ","Negative"
4," waalaikumsalam wr wbaamiin selamat idul fitri mbak sama keluarga ","Positive"
9,"selamat hari raya idul fitri h mohon maaf lahir dan batin atas semua salah dan khilaf baik lisan maupun buat salam sehat jiwa dan raga ","Positive"
4," sama sama ayang selamat idul fitri ya","Positive"
0," terima kasih atas informasinyaselamat hari raya idul fitri h tetapprokessaatlebaranbersama laksana sama","Neutral"
5," jika kalau menawi dan kawan kawanya harus tidak boleh ucap ketika lebaran karena sejati salah antar manusia itu selalu ada baik sengaja maupun tidak selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
4,"presiden dan ibu negara itiana joko widodo ucap selamat idul fitri kepada seluruh masyarakat indonesia dan umat yang raya ","Positive"
1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
1,"rt selamat idul fitri syawal h mohon maaf kalau admin ada salah tweet kata buat lahir dan bathin ","Positive"
9,"selamat hari raya idul fitri mohon maaf lahir dan batin selamat mudik dan libur juga indah indonesia bisa turut serta raya ","Positive"
5," saya sela tulis dari karakter kendrick volker dan duke pharaoh ucap selamat hari raya idul fitri mohon maaf lahir dan batin ","Positive"
0,"acara awal dengan baca takbir yang pimpin oleh pf pensosbud dan tepat pukul sholat ied mulai dan lanjut dengan khutbah idul fitri yang pimpin oleh khatib undang yaitu ust mustajab sukeri ","Neutral"
7,"rt kami keluarga besar jurnal biometrika dan kependudukan ucap selamat raya hari raya idul fitri h minal a","Positive"
0,"kakanwil a yuspahruddin kemenkumham jateng berkah idul fitri warga bina rutan kudus kemenkumham jateng terima remisi","Neutral"
0,"gubernur jateng ganjar pranowo tuna salat idul fitri di lapang simpanglima semarang ","Neutral"
4," done wish me luck selamat hari raya idul fitri kak ","Positive"
5," selamat idul fitri mohon maaf lahir dan batin","Positive"
4,"sambil nikmat lontong atau bakso vlog suasana idul fitri kampung di indonesia takbir keliling hingga silaturahmi ","Positive"
10,"cinta tetap proses di otak kak kalo hati hasil empedu hehe selamat idul fitri ","Positive"
4,"selamat hari raya idul fitri tweeps ","Positive"
5,"rt selamat hari raya idul fitri syawwal hijriah taqabbalallaahu minna wa minkum mohon maaf lahir dan batin ","Positive"
5,"saya dan ucap selamat hari raya idul fitri buat mootsku yang agama muslim mohon maaf lahir batin moots ","Positive"
0,"presiden joko widodo serta ibu negara iriana joko widodo laksana shalat idul fitri di halaman gedung agung istana presiden yogyakarta ikut liput lengkap idulfitri lebaran ","Neutral"
0,"rt hqhaluselamat hari raya idul fitri dari semi dan suna kalian mau lebaran bareng siapa nih ","Neutral"
0,"rt menteri bumn erick thohir mnjalani salat idul fitri di masjid at thohir depok jabar turut idul fitri ","Neutral"
-1,"rt giveaway karena hari ini hari raya idul fitri ulang tahun aku jadi aku mau enggak kecil kecil printilan korea ofc random","Negative"
10,"selamat hari raya idul fitri h minal aidin wal faizin mohon maaf lahir dan batin moga momen idul fitri ini dapat bawa sukacita bagi kita semua santikaindonesia santikahotels kampihotels amarishotels theanvaya thesamaya thekayana diindonesiaaja ","Positive"
4,"selamat hari raya idul fitri ya beauties kusumabeautyclinic kusumabeautyid percayakancantikmu idulfitri h eidulfitr ","Positive"
5,"selamat hari raya idul fitri warga twitter mohon maaf lahir batin ya semua","Positive"
5,"rt segenap kru nu online ucap selamat hari raya idul fitri h minal aidin wal faizin mohon maaf lahir dan batin ","Positive"
3,"rt di hari yang fitri ini menteri bumn serta keluarga besar ucap taqabbalallaahu minna wa minkum ta","Positive"
-3," jakarta sepi apa jokowi mudik ke jogjakarta kan keluarga nya dari solo dkat ke yogyakarta wjar sih sudah sindir dengan anak cucu mntunya sibuk terus urus nkri rakyat jadi kasih apa jokowi libur idul fitri kali ini dengan keluarga bsarnya diyogyakarta dkat solo","Negative"
4,"rt drippin kali everline selamat hari raya idul fitrimohon maaf lahir batin drippin villain","Positive"
1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
4," selamat idul fitri yang tadi solat zuhur ","Positive"
0," idul fitri banyak berkah","Neutral"
-4,"rt ketika idul fitri t tiba janji ya gaboleh iri lihat keluarga lain kumpul dan foto bersamajanji jangan tangis lebaran tn","Negative"
4,"selamat hari raya idul fitri hmohon maaf lahir dan batin ","Positive"
5," wkwkwkwk kan sin sorry tapi ini lucuanw selamat hari raya idul fitri kak sindhy mohon maaf lahir dan batin","Positive"
-4,"hari pertama dan sholat idul fitri itu pakai baju lama soal cuma di rumah","Negative"
5,"selamat idul fitri mohon maaf lahir dan batin ","Positive"
4," selamat hbd idul fitri ","Positive"
0,"rt challenge hari ini nah kentut dari solat subuh sampai kelar solad idul fitri","Neutral"
4,"hari raya idul fitri wali kota ali maulana nikmat lengang jakarta ","Positive"
5,"selamat hari raya idul fitri mohon maaf lahir batin suci hati di hari nan fitri ini ","Positive"
0,"rt syawal ya allah moga dengan hari raya idul fitri lebaran ini engkau menja","Neutral"
-2,"rt kok bisa kalian idul fitri punya foto keluarga ","Negative"
-6,"pas banget habis salam rakaat sih bapak tbtb gestur badan suruh shaf cewek minggir padahal lagi solat masih baru selesai banget dan gue sama yang lain cuma lihat sinis saja kayak paansi pak baru juga idul fitri","Negative"
4," sama sama kak selamat idul fitri ","Positive"
5," selamat idul fitri mohon maaf lahir batin ya thank you ","Positive"
5,"selamat hari raya idul fitri mohon maaf lahir dan batin ","Positive"
2,"rt minal aidzin wal faidzin lovely maaf kalau lama ini ada ketik caca yang pernah singgung lovely baik di","Positive"
4," selamat hari raya idul fitri pak","Positive"
10,"rt selamat hari raya idul fitri mohon maaf lahir batin ya selamat kumpul sama orang cinta ","Positive"
4," selamat hari raya idul fitri hijriah taqabbalallahu minna wa minkum selamat ulang tahun puang real madrid vs manchester cityleg ke nanti ","Positive"
5,"rt segenap team abouttng ucap selamat hari raya idul fitri h maaf botang ya mohon maaf lahir dan batin idul","Positive"
5,"rt selamat idul fitri kepada seluruh saudara di tweetland mohon maaf lahir batin taqabbalallahu minna wa minkum minal a","Positive"
8," ingat hari raya idul fitri h selamat hari raya idul fitri h taqobbalallahu minna wa minkum wa jaalana minal aidzin wal faidzin hari ini adalah hari menang dan hari untuk saling maaf ","Positive"
4," selamat hari raya idul fitri kak ba ","Positive"
1,"selamat idul fitri syawal h mohon maaf kalau admin ada salah tweet kata buat lahir dan bathin ","Positive"
5," selamat hari raya idul fitri h minal aidin walfaizin mohon maaf lahir dan bathn ","Positive"
0,"rangkai hari raya idul fitri ala wali kota bandung infobdg golalidotid golaliid lebaran lebaran idulfitri h idulfitri ikatancinta","Neutral"
1," kak aku izin ikut ya terima kasih sudah mau bagi di hari baik bismillah kalo aku untung aku mau album bae blaze woodz colorful trauma colorful ver younite aurora verselamat hari raya idul fitri kak mohon maaf lahir dan batin ","Positive"
4,"selamat idul fitri h maslov ","Positive"
4,"selamat idul fitri tuips jogja kopdar yuk ","Positive"
4," sama sama kak selamat idul fitri ","Positive"
9,"rt dengan hati yang tulus tim untuk indonesia ucap selamat hari raya idul fitri syawal h minal aidin wal faidzin sama","Positive"
4,"rt taqaballahu minna wa minkum siyamana wa siyaamakumkami segenap talent dan staff virtuelight ucap selamat idul","Positive"
5," selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
4,"selamat hari raya idul fitri sobat misqueen ","Positive"
-3,"detik detik pria jatuh sungkur saat sholat idul fitri netizen kira tinggal","Negative"
5,"rt selamat hari raya idul fitri yang ke h bagi semua yang raya mohon maaf lahir batin ya selamat be","Positive"
0,"rt rutan pinrang kanwil kemenkumham sulsel suasana idul fitri sangat khidmat hadir bawak khutbah ust sukaldi alkaj","Neutral"
7,"rt keluarga besar kanwil djp bengkulu dan lampung ucap selamat hari raya idul fitri syawal h taqobballahu min","Positive"
0,"rt main bola di sore haripulangnya pancing patinselamat hari raya idul fitrimohon maaf lahir dan batin kitagaruda meraihimpi","Neutral"
5,"penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut tentu dalam edar penyelenggaran ibdah idul fitri tahun h sama surat edar nomor se tahun tetapprokessaatlebaranbersama laksana sama ","Positive"
0,"rt rutan pinrang kanwil kemenkumham sulsel kepala rutan wahyu trah utomo sama jabat struktural para gawai gue","Neutral"
-1,"rt tarik ini problem fiqhnya muslim singapura tetap puasa genap hari besok sementara malaysia besok idul fitri ","Negative"
5,"rt selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
4,"rt selamat hari raya idul fitri syawal h taqabbalallaahu minna wa minkum taqabbal ya karimminal aidin wal faizin ","Positive"
4,"rt selamat hari raya idul fitri syawal h moga di hari yang suci ini kita selalu berik berkah dan selalu dalam l","Positive"
9,"selamat hari raya idul fitri h a listeners mohon maaf lahir dan batin ya selamat nikmat lebaran sama keluarga untuk kamu yang raya nah untuk teman libur kamu yuk dengar asianstation bareng sampai ke jam sore nanti stay tuned ya ","Positive"
3,"personel satlantas polres semarang laksana aman dan atur lalu lintas serta seberang masyarakat yang laksana sholat idul fitri ","Positive"
4,"selamat hari raya idul fitri pak wapres ","Positive"
13,"selamat hari raya idul fitri sobat mencicingsemoga di hari menang ini kita semua dapat jadi pribadi yang lebih baik lagi taqabbalallahu minna wa minkum minal aidin wal faidzin mohon maaf lahir dan batin mencicing eidmubarak eidalfitr ","Positive"
4,"rt raya menang rutan pinrang kanwil kemenkumham sulsel gelar salat idul fitri hijriah senin kumh","Positive"
10,"selamat hari raya idul fitri h minal aidin wal faizin mohon maaf lahir dan batin moga momen idul fitri ini dapat bawa sukacita bagi kita semua santikaindonesia santikahotels kampihotels amarishotels theanvaya thesamaya thekayana diindonesiaaja ","Positive"
1,"kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kadiv humas polriirjen pol prof dari dedi prasetyo sama hum sama sama tetapprokessaatlebaranbersama laksana sama ","Positive"
5," selamat hari raya idul fitri juga epel mohon maaf lahir dan batin juga kak ","Positive"
8,"rt selamat hari raya idul fitri syawal h mohon maaf lahir batin dengan pintu maaf moga kita berik mudah dala","Positive"
5,"selamat hari raya idul fitri bagi yang raya mohon maaf lahir dan batin happy eid mubarak ","Positive"
5,"taqabbalallahu minna wa minkum selamat idul fitri mohon maaf lahir dan batin kawan eid al fitri everyone ","Positive"
9,"selamat hari raya idul fitri ingat kita harus saling maaf karena kalo saling cinta aku yakin kamu enggak mau happyeidmubarak ","Positive"
-4,"alhamdulillah bertemu lagi dengan lebaran kalo aku ada salah aku minta thr ya hari raya idul fitri ","Negative"
4,"rt selamat hari raya idul fitrimohon maaf lahir dan batin ","Positive"
5,"selamat hari raya idul fitri h bagi fams yang raya mohon maaf lahir dan batin ya ","Positive"
-9,"ketika mulut tak mampu ucap dan tang tamampu bejabat tapi hati ini masih bisa terima maaf mohon maaf lahir batin selamat idul fitri h ","Negative"
5,"rt selamat hari raya idul fitri hijriyah mop lovers mohon maaf lahir dan batin ya mari kita jabat tang un","Positive"
4,"selamat hari raya idul fitri ","Positive"
4," selamat hari raya idul fitri kak fuji","Positive"
5,"arjasa pagi ini seluruh gawai dan warga bina masyarakat wbp lapas kelas iii arjasa kanwil kemenkumham jawa timur ikut laksana sholat idul fitri h senin laksana ibadah sholat mulai pukul wib yang laksana di masjid nurul jannah ","Positive"
4,"selamat hari raya idul fitri semuanyaaa ","Positive"
0,"setelah laksana sholat idul fitri menteri bumn lanjut bagi sembako kepada karyawan mesjid at thohir erickthohirsolusirakyat ","Neutral"
4," selamat raya idul fitri huntuk saudara tanah air yang raya source ig patriot garuda takbir takbir patriotgaruda idulfitri idulfitri lebaran bubarkanpks","Positive"
5,"rt di hari yang fitri ini mari kembal suci hati saling maaf dan saling asih selamat idul fitri h mohon","Positive"
5,"selamat hari raya idul fitri buat teman teman yang raya mohon maaf lahir dan bathin ","Positive"
5,"rt selamat hari raya idul fitri teman teman dari kami noon reider mohon maaf lahir dan batin ","Positive"
-2,"rt alhamdulillah kita sudah sampai di hari yang fitri dengan segala rendah hati kami ucap minal aidzin wal faizin mau","Negative"
1,"agung besaran nya syukur ampun nya lapang hati di hari nan fitriselamat hari raya idul fitri hijriah minal aidin wal faizin mohon maaf lahir batin berkahramadhanditvone sukun prsukun ","Positive"
4,"selamat idul fitri ","Positive"
0,"yuk raya hari raya idul fitri dengan tetap laksana sama utama maka masker untuk jaga diri dari sebar covid tetapprokessaatlebaranbersama laksana sama ","Neutral"
4,"selamat idul fitri everyone ","Positive"
5,"engkoh selamat idul fitri ye mohon maaf lahir dan bathin","Positive"
0,"rt kasubsi ayan tahan kanwil kemenkumham sulsel rusdin rk idul fitri yang berik kepada warga binaa","Neutral"
5,"rt selamat hari raya idul fitri htaqabbalallahu minna wa minkum taqabbal ya karim mohon maaf lahir batin ","Positive"
